# (c) Der Bundeswahlleiter, Wiesbaden 2020;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;
# ;;;;;
# Stand: 25.06.2020;;;;;
# ;;;;;
# Wahlkreisnummern und -namen bei der Wahl zum 20. Deutschen Bundestag;;;;;
# ;;;;;
Gebietsart;Gebietsnummer;Gebietsname/GebietText;Gebietsname_Abk;UegGebietsart;UegGebietsnummer
WAHLKREIS;208;Neustadt – Speyer;;LAND;7
WAHLKREIS;209;Kaiserslautern;;LAND;7
WAHLKREIS;210;Pirmasens;;LAND;7
WAHLKREIS;211;Südpfalz;;LAND;7
WAHLKREIS;212;Altötting;;LAND;9
WAHLKREIS;213;Erding – Ebersberg;;LAND;9
WAHLKREIS;214;Freising;;LAND;9
WAHLKREIS;215;Fürstenfeldbruck;;LAND;9
WAHLKREIS;216;Ingolstadt;;LAND;9
WAHLKREIS;217;München-Nord;;LAND;9
WAHLKREIS;218;München-Ost;;LAND;9
WAHLKREIS;219;München-Süd;;LAND;9
WAHLKREIS;220;München-West/Mitte;;LAND;9
WAHLKREIS;221;München-Land;;LAND;9
WAHLKREIS;222;Rosenheim;;LAND;9
WAHLKREIS;223;Bad Tölz-Wolfratshausen – Miesbach;;LAND;9
WAHLKREIS;224;Starnberg – Landsberg am Lech;;LAND;9
WAHLKREIS;225;Traunstein;;LAND;9
WAHLKREIS;226;Weilheim;;LAND;9
WAHLKREIS;227;Deggendorf;;LAND;9
WAHLKREIS;228;Landshut;;LAND;9
WAHLKREIS;229;Passau;;LAND;9
WAHLKREIS;230;Rottal-Inn;;LAND;9
WAHLKREIS;231;Straubing;;LAND;9
WAHLKREIS;232;Amberg;;LAND;9
WAHLKREIS;233;Regensburg;;LAND;9
WAHLKREIS;234;Schwandorf;;LAND;9
WAHLKREIS;235;Weiden;;LAND;9
WAHLKREIS;236;Bamberg;;LAND;9
WAHLKREIS;237;Bayreuth;;LAND;9
WAHLKREIS;238;Coburg;;LAND;9
WAHLKREIS;239;Hof;;LAND;9
WAHLKREIS;240;Kulmbach;;LAND;9
WAHLKREIS;241;Ansbach;;LAND;9
WAHLKREIS;242;Erlangen;;LAND;9
WAHLKREIS;243;Fürth;;LAND;9
WAHLKREIS;244;Nürnberg-Nord;;LAND;9
WAHLKREIS;245;Nürnberg-Süd;;LAND;9
WAHLKREIS;246;Roth;;LAND;9
WAHLKREIS;247;Aschaffenburg;;LAND;9
WAHLKREIS;248;Bad Kissingen;;LAND;9
WAHLKREIS;249;Main-Spessart;;LAND;9
WAHLKREIS;250;Schweinfurt;;LAND;9
WAHLKREIS;251;Würzburg;;LAND;9
WAHLKREIS;252;Augsburg-Stadt;;LAND;9
